created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 14 22:05:35 +0000 2023;1724549161230487850;"@idextratime Ini akun sepakbola bukan politik, bukan agama, bukan yang lainnnya. Ingat siapa yang menggagalkan mimpi anak-anak muda untuk tampil di piala dunia u-20. Ingat orangnya dan partainya.";0;0;0;0;in;1665564484780584961;1724424771624956321;iqbaalenathea;https://twitter.com/iqbaalenathea/status/1724549161230487850
Tue Nov 14 14:38:54 +0000 2023;1724436749621813653;"@idextratime Pokoknya yang nolak piala dunia U-20 iangan dipilih";0;0;0;0;in;1514478720051867653;1724424771624956321;kangralee;https://twitter.com/kangralee/status/1724436749621813653
Tue Nov 14 13:31:18 +0000 2023;1724419739089269072;"Dia memutuskan menolak Israel bertanding di Jawa Tengah di ajang Piala Dunia U-20. Sikap Ganjar diikuti Gubernur Bali I Wayan Koster yang sama-sama berasal dari PDIP.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;803146663497867264;1724419688036253836;lehon_mangolu;https://twitter.com/lehon_mangolu/status/1724419739089269072
Tue Nov 14 12:30:22 +0000 2023;1724404405842436538;"@RomeoWalker19 @jokowi Masih praduga. Ganjar dah terang2an menikung, salah satunya Piala Dunia U-20. Mending berharap pada Prabowo lah, at least masih bersandar pada "dawuh" Gus Dur.";0;1;0;2;in;1281100981392953344;1724391969794015653;icenk86;https://twitter.com/icenk86/status/1724404405842436538
Tue Nov 14 12:21:12 +0000 2023;1724402097846931462;"Dia memutuskan menolak Israel bertanding di Jawa Tengah di ajang Piala Dunia U-20. Sikap Ganjar diikuti Gubernur Bali I Wayan Koster yang sama-sama berasal dari PDIP.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1614845433817493505;1724402030599672058;akuteguh5;https://twitter.com/akuteguh5/status/1724402097846931462
Tue Nov 14 10:47:10 +0000 2023;1724378432308670566;"Dia memutuskan menolak Israel bertanding di Jawa Tengah di ajang Piala Dunia U-20. Sikap Ganjar diikuti Gubernur Bali I Wayan Koster yang sama-sama berasal dari PDIP.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;741633710601043969;1724378388184596629;gadotaja;https://twitter.com/gadotaja/status/1724378432308670566
Tue Nov 14 08:22:41 +0000 2023;1724342071581143376;"Dia memutuskan menolak Israel bertanding di Jawa Tengah di ajang Piala Dunia U-20. Sikap Ganjar diikuti Gubernur Bali I Wayan Koster yang sama-sama berasal dari PDIP.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1620967566809370625;1724342019177460086;neinaadella07;https://twitter.com/neinaadella07/status/1724342071581143376
Tue Nov 14 08:20:53 +0000 2023;1724341621209420149;"Dia memutuskan menolak Israel bertanding di Jawa Tengah di ajang Piala Dunia U-20. Sikap Ganjar diikuti Gubernur Bali I Wayan Koster yang sama-sama berasal dari PDIP.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1620838475330383872;1724341592369271263;andystwn4;https://twitter.com/andystwn4/status/1724341621209420149
Tue Nov 14 07:19:59 +0000 2023;1724326295293821064;"Dia memutuskan menolak Israel bertanding di Jawa Tengah di ajang Piala Dunia U-20. Sikap Ganjar diikuti Gubernur Bali I Wayan Koster yang sama-sama berasal dari PDIP.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1621010236864892929;1724326258203582795;asigenputri;https://twitter.com/asigenputri/status/1724326295293821064
Tue Nov 14 06:48:52 +0000 2023;1724318462376636516;"Hanya ganjar pranowo capres yang berani tolak israel saat piala dunia u-20! https://t.co/j6YxrfrUrQ";0;0;0;0;in;1564540655623233537;1724318462376636516;cahyanhikari;https://twitter.com/cahyanhikari/status/1724318462376636516
